,reason_1,reason_2,reason_3,reason_4,Date,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,Day Of week
45,0,0,0,1,2015-09-13,118,10,241.476,28,0,0,0,3,7,6
46,0,0,0,1,2015-09-14,179,51,241.476,31,0,0,0,3,7,0
47,0,0,0,1,2015-09-24,291,31,241.476,25,0,1,1,4,7,3
48,0,0,0,1,2015-09-04,260,50,241.476,23,0,4,0,8,7,4
49,1,0,0,0,2015-09-14,291,31,241.476,25,0,1,1,32,7,0
50,0,0,0,0,2015-09-21,260,50,241.476,23,0,4,0,0,7,0
51,0,0,0,0,2015-09-28,225,26,241.476,24,0,1,2,0,7,0
52,0,0,0,1,2015-09-08,225,26,241.476,24,0,1,2,2,7,1
53,0,0,0,1,2015-09-15,118,10,241.476,28,0,0,0,2,7,1
54,0,0,0,0,2015-09-22,289,36,241.476,30,0,2,1,0,7,1
55,0,0,0,0,2015-09-29,118,13,241.476,31,0,1,0,0,7,1
56,0,0,1,0,2015-09-16,225,26,241.476,24,0,1,2,3,7,2
57,0,0,0,1,2015-09-23,179,51,241.476,31,0,0,0,3,7,2
58,0,0,0,0,2015-09-30,369,17,241.476,25,0,3,0,0,7,2
59,0,0,0,1,2015-09-11,248,25,241.476,32,0,2,1,1,7,4
60,0,0,0,1,2015-09-18,179,51,241.476,31,0,0,0,3,7,4
61,0,0,0,1,2015-09-25,260,50,241.476,23,0,4,0,4,7,4
62,0,0,0,1,2015-10-06,179,51,253.465,31,0,0,0,3,7,1
63,0,0,0,1,2015-10-13,118,10,253.465,28,0,0,0,3,7,1
64,0,0,0,0,2015-10-14,118,13,253.465,31,0,1,0,0,7,2
65,0,0,0,1,2015-10-15,179,26,253.465,19,1,0,0,1,7,3
66,0,0,0,1,2015-10-16,179,51,253.465,31,0,0,0,3,7,4
67,0,0,0,1,2015-10-16,225,26,253.465,24,0,1,2,3,7,4
68,0,0,0,1,2015-10-06,118,10,253.465,28,0,0,0,3,7,1
69,0,0,0,1,2015-10-14,225,26,253.465,24,0,1,2,2,7,2
70,0,0,0,1,2015-10-21,248,25,253.465,32,0,2,1,2,7,2
71,0,0,0,1,2015-10-22,291,31,253.465,25,0,1,1,5,7,3
72,0,0,0,1,2015-10-21,179,51,253.465,31,0,0,0,8,7,2
73,0,0,0,1,2015-10-21,225,26,253.465,24,0,1,2,3,7,2
74,0,0,1,0,2015-10-22,260,50,253.465,23,0,4,0,16,7,3
75,1,0,0,0,2015-10-13,291,31,253.465,25,0,1,1,8,7,1
76,0,0,0,1,2015-10-20,225,26,253.465,24,0,1,2,2,7,1
77,0,0,0,1,2015-10-21,289,36,253.465,30,0,2,1,8,7,2
78,0,0,0,1,2015-10-23,361,52,253.465,27,0,1,4,1,7,4
79,0,0,0,1,2015-10-30,260,50,253.465,23,0,4,0,3,7,4
80,0,0,0,1,2015-11-05,179,51,306.345,31,0,0,0,1,7,3
81,0,0,0,1,2015-11-04,225,26,306.345,24,0,1,2,1,7,2
82,1,0,0,0,2015-11-05,179,51,306.345,31,0,0,0,8,7,3
83,0,0,1,0,2015-11-12,179,22,306.345,22,1,2,0,8,7,3
84,0,0,0,1,2015-11-19,291,31,306.345,25,0,1,1,5,7,3
85,1,0,0,0,2015-11-02,155,12,306.345,25,0,2,0,32,7,0
86,0,0,0,1,2015-11-09,189,29,306.345,25,0,2,2,8,7,0
87,1,0,0,0,2015-11-16,291,31,306.345,25,0,1,1,40,7,0
88,0,0,0,1,2015-11-18,225,26,306.345,24,0,1,2,1,7,2
89,1,0,0,0,2015-11-20,155,12,306.345,25,0,2,0,8,7,4
90,0,0,0,1,2015-11-18,225,26,306.345,24,0,1,2,3,7,2
91,0,0,1,0,2015-11-25,179,22,306.345,22,1,2,0,8,7,2
92,1,0,0,0,2015-11-20,225,26,306.345,24,0,1,2,3,7,4
93,0,0,0,1,2015-11-27,260,50,306.345,23,0,4,0,4,7,4
94,0,0,0,1,2015-11-02,248,25,306.345,32,0,2,1,1,7,0
95,0,0,0,1,2015-11-10,225,26,306.345,24,0,1,2,3,7,1
96,1,0,0,0,2015-11-11,289,36,306.345,30,0,2,1,24,7,2
97,0,0,0,1,2015-11-26,291,31,306.345,25,0,1,1,3,7,3
98,0,0,0,1,2015-12-01,248,25,261.306,32,0,2,1,1,7,1
99,0,0,1,0,2015-12-01,118,10,261.306,28,0,0,0,64,7,1
100,0,0,0,1,2015-12-02,118,13,261.306,31,0,1,0,2,7,2
101,0,0,0,1,2015-12-02,235,11,261.306,29,1,1,1,8,7,2
102,0,0,0,1,2015-12-03,225,26,261.306,24,0,1,2,2,7,3
103,0,0,0,1,2015-12-04,260,50,261.306,23,0,4,0,8,7,4
104,0,0,1,0,2015-12-08,118,10,261.306,28,0,0,0,56,7,1
105,0,0,0,1,2015-12-09,361,52,261.306,27,0,1,4,8,7,2
106,0,0,0,1,2015-12-10,225,26,261.306,24,0,1,2,3,7,3
107,0,0,0,1,2015-12-11,260,50,261.306,23,0,4,0,3,7,4
108,0,0,0,1,2015-12-15,225,26,261.306,24,0,1,2,2,7,1
109,0,0,0,1,2015-12-16,361,52,261.306,27,0,1,4,8,7,2
110,0,0,0,1,2015-12-11,118,10,261.306,28,0,0,0,2,7,4
111,0,0,1,0,2015-12-18,246,25,261.306,23,0,0,0,8,7,4
112,0,0,0,1,2015-12-18,225,26,261.306,24,0,1,2,2,7,4
113,0,0,0,1,2016-01-06,225,26,308.593,24,0,1,2,1,7,2
114,0,0,1,0,2016-01-04,118,10,308.593,28,0,0,0,1,7,0
115,0,0,0,1,2016-01-05,118,10,308.593,28,0,0,0,1,7,1
116,0,0,1,0,2016-01-05,155,12,308.593,25,0,2,0,8,7,1
117,0,0,0,1,2016-01-06,225,26,308.593,24,0,1,2,2,7,2
118,0,0,0,1,2016-01-07,184,42,308.593,21,0,0,0,2,7,3
119,0,0,0,1,2016-01-07,225,26,308.593,24,0,1,2,2,7,3
120,0,0,0,1,2016-01-08,225,26,308.593,24,0,1,2,1,7,4
121,0,0,0,1,2016-01-11,118,10,308.593,28,0,0,0,2,7,0
122,0,0,0,1,2016-01-12,225,26,308.593,24,0,1,2,2,7,1
123,0,0,0,1,2016-01-12,118,10,308.593,28,0,0,0,2,7,1
124,0,0,0,1,2016-01-13,118,10,308.593,28,0,0,0,2,7,2
125,0,0,0,1,2016-01-14,118,10,308.593,28,0,0,0,2,7,3
126,0,0,0,1,2016-01-15,118,10,308.593,28,0,0,0,2,7,4
127,0,0,0,1,2016-01-11,118,10,308.593,28,0,0,0,2,7,0
128,0,0,0,1,2016-01-12,118,10,308.593,28,0,0,0,2,7,1
129,0,0,1,0,2016-01-12,179,26,308.593,19,1,0,0,8,7,1
130,0,0,1,0,2016-01-12,289,36,308.593,30,0,2,1,8,7,1
131,0,0,0,1,2016-01-13,118,10,308.593,28,0,0,0,2,7,2
132,0,0,0,1,2016-01-21,184,42,308.593,21,0,0,0,2,7,3
133,0,0,0,1,2016-01-28,118,10,308.593,28,0,0,0,2,7,3
134,0,0,0,1,2016-01-25,118,10,308.593,28,0,0,0,0,7,0
135,0,0,0,1,2016-01-26,225,26,308.593,24,0,1,2,1,7,1
136,0,0,0,1,2016-01-28,289,36,308.593,30,0,2,1,3,7,3
137,0,0,0,1,2016-02-05,184,42,302.585,21,0,0,0,1,7,4
138,1,0,0,0,2016-02-03,246,25,302.585,23,0,0,0,8,7,2
139,1,0,0,0,2016-02-10,179,51,302.585,31,0,0,0,8,7,2
140,0,0,0,1,2016-02-11,155,12,302.585,25,0,2,0,2,7,3
141,0,0,0,1,2016-02-11,189,29,302.585,25,0,2,2,8,7,3
142,0,0,0,1,2016-02-12,260,50,302.585,23,0,4,0,2,7,4
143,0,0,0,1,2016-02-12,289,36,302.585,30,0,2,1,8,7,4
144,1,0,0,0,2016-02-08,388,15,302.585,24,0,0,0,8,7,0
145,1,0,0,0,2016-02-09,388,15,302.585,24,0,0,0,8,7,1
146,0,0,0,1,2016-02-15,225,26,302.585,24,0,1,2,2,7,0
147,0,0,0,1,2016-02-09,225,26,302.585,24,0,1,2,2,7,1
148,0,0,0,1,2016-02-16,179,26,302.585,19,1,0,0,1,7,1
149,0,0,0,1,2016-02-23,184,42,302.585,21,0,0,0,8,7,1
150,0,0,0,1,2016-02-25,225,26,302.585,24,0,1,2,3,7,3
151,0,0,1,0,2016-02-15,330,16,302.585,25,1,0,0,8,7,0
152,0,0,0,1,2016-02-16,330,16,302.585,25,1,0,0,1,7,1
153,0,0,0,1,2016-02-17,225,26,302.585,24,0,1,2,1,7,2
154,0,0,1,0,2016-02-25,189,29,302.585,25,0,2,2,8,7,3
155,0,0,0,1,2016-03-01,291,50,343.253,23,0,0,0,2,7,1
156,0,0,1,0,2016-03-01,260,50,343.253,23,0,4,0,8,7,1
157,0,0,1,0,2016-03-08,157,27,343.253,22,0,0,0,3,7,1
158,0,1,0,0,2016-03-15,179,22,343.253,22,1,2,0,8,7,1
159,0,0,0,1,2016-03-16,291,31,343.253,25,0,1,1,8,7,2
160,1,0,0,0,2016-03-02,260,50,343.253,23,0,4,0,8,7,2
161,1,0,0,0,2016-03-03,179,26,343.253,19,1,0,0,8,7,3
162,1,0,0,0,2016-03-04,248,25,343.253,32,0,2,1,3,7,4
163,1,0,0,0,2016-03-04,260,50,343.253,23,0,4,0,40,7,4
164,1,0,0,0,2016-03-07,179,22,343.253,22,1,2,0,40,7,0
165,1,0,0,0,2016-03-14,155,12,343.253,25,0,2,0,16,7,0
166,0,0,0,1,2016-03-21,260,50,343.253,23,0,4,0,16,7,0
167,1,0,0,0,2016-03-22,155,12,343.253,25,0,2,0,8,7,1
168,1,0,0,0,2016-03-24,289,36,343.253,30,0,2,1,8,7,3
169,1,0,0,0,2016-03-24,179,22,343.253,22,1,2,0,8,7,3
170,0,0,0,1,2016-03-25,260,50,343.253,23,0,4,0,4,7,4
171,0,0,0,1,2016-03-25,225,26,343.253,24,0,1,2,1,7,4
172,1,0,0,0,2016-03-28,279,5,343.253,24,0,2,0,8,7,0
173,1,0,0,0,2016-03-29,179,51,343.253,31,0,0,0,24,7,1
174,0,0,0,1,2016-03-30,225,26,343.253,24,0,1,2,2,7,2
175,1,0,0,0,2016-03-28,225,26,343.253,24,0,1,2,8,7,0
176,1,0,0,0,2016-03-28,179,26,343.253,19,1,0,0,1,7,0
177,1,0,0,0,2016-03-29,225,26,343.253,24,0,1,2,8,7,1
178,1,0,0,0,2016-03-30,225,26,343.253,24,0,1,2,16,7,2
179,1,0,0,0,2016-03-30,179,51,343.253,31,0,0,0,3,7,2
180,1,0,0,0,2016-03-17,279,5,343.253,24,0,2,0,16,7,3
181,0,0,0,1,2016-03-18,225,26,343.253,24,0,1,2,2,7,4
182,1,0,0,0,2016-03-25,248,25,343.253,32,0,2,1,3,7,4
183,0,0,0,1,2016-03-28,225,26,343.253,24,0,1,2,1,7,0
184,0,0,0,1,2016-04-06,291,31,326.452,25,0,1,1,1,7,2
185,0,0,0,1,2016-04-13,225,26,326.452,24,0,1,2,1,7,2
186,0,0,0,1,2016-04-12,155,12,326.452,25,0,2,0,1,7,1
187,1,0,0,0,2016-04-13,246,25,326.452,23,0,0,0,24,7,2
188,0,0,0,1,2016-04-14,155,12,326.452,25,0,2,0,1,7,3
189,0,0,0,1,2016-04-15,225,26,326.452,24,0,1,2,2,7,4
190,0,0,0,1,2016-04-15,260,50,326.452,23,0,4,0,4,7,4
191,1,0,0,0,2016-04-06,179,51,326.452,31,0,0,0,24,7,2
192,0,0,0,1,2016-04-07,118,13,326.452,31,0,1,0,1,7,3
193,0,0,0,1,2016-04-08,291,31,326.452,25,0,1,1,3,7,4
194,1,0,0,0,2016-04-08,246,25,326.452,23,0,0,0,8,7,4
195,0,0,0,1,2016-04-22,291,31,326.452,25,0,1,1,1,7,4
196,0,0,0,1,2016-04-29,248,25,326.452,32,0,2,1,8,7,4
197,0,0,1,0,2016-04-29,260,50,326.452,23,0,4,0,56,7,4
198,0,0,1,0,2016-04-26,289,36,326.452,30,0,2,1,8,7,1
199,1,0,0,0,2016-04-27,155,12,326.452,25,0,2,0,24,7,2
200,0,0,1,0,2016-04-27,378,49,326.452,21,0,2,4,8,7,2
201,1,0,0,0,2016-04-28,289,36,326.452,30,0,2,1,16,7,3
202,1,0,0,0,2016-04-08,235,11,326.452,29,1,1,1,3,7,4
203,0,0,0,0,2016-04-04,235,29,326.452,33,0,1,5,0,7,0
204,1,0,0,0,2016-05-04,289,36,378.884,30,0,2,1,8,7,2
205,0,0,0,1,2016-05-05,155,12,378.884,25,0,2,0,2,7,3
206,0,0,0,1,2016-05-02,155,12,378.884,25,0,2,0,1,7,0
207,0,0,1,0,2016-05-03,179,51,378.884,31,0,0,0,8,7,1
208,0,0,1,0,2016-05-03,225,26,378.884,24,0,1,2,8,7,1
209,1,0,0,0,2016-05-11,184,42,378.884,21,0,0,0,4,7,2
210,0,0,0,1,2016-05-09,155,12,378.884,25,0,2,0,2,7,0
211,1,0,0,0,2016-05-10,179,51,378.884,31,0,0,0,1,7,1
212,1,0,0,0,2016-05-04,289,36,378.884,30,0,2,1,24,7,2
213,0,0,0,0,2016-05-11,279,5,378.884,24,0,2,0,0,7,2
214,0,0,0,0,2016-05-18,330,16,378.884,25,1,0,0,0,7,2
215,0,0,0,0,2016-05-25,378,49,378.884,21,0,2,4,0,7,2
216,0,0,0,0,2016-05-25,388,15,378.884,24,0,0,0,0,7,2
217,1,0,0,0,2016-05-24,179,51,378.884,31,0,0,0,1,7,1
218,1,0,0,0,2016-05-11,118,13,378.884,31,0,1,0,24,7,2
219,0,0,0,1,2016-05-27,361,52,378.884,27,0,1,4,8,7,4
220,0,0,1,0,2016-06-06,246,25,377.55,23,0,0,0,8,7,0
221,0,0,0,1,2016-06-13,361,52,377.55,27,0,1,4,8,7,0
222,1,0,0,0,2016-06-14,246,25,377.55,23,0,0,0,24,7,1
223,0,0,0,1,2016-06-16,291,31,377.55,25,0,1,1,4,7,3
224,1,0,0,0,2016-06-17,246,25,377.55,23,0,0,0,8,7,4
225,1,0,0,0,2016-06-13,179,51,377.55,31,0,0,0,8,7,0
226,0,0,0,1,2016-06-20,155,12,377.55,25,0,2,0,4,7,0
227,1,0,0,0,2016-06-27,246,25,377.55,23,0,0,0,8,7,0
228,1,0,0,0,2016-06-29,118,13,377.55,31,0,1,0,8,7,2
229,1,0,0,0,2016-06-03,235,11,377.55,29,1,1,1,16,7,4
230,0,0,0,1,2016-06-07,118,13,377.55,31,0,1,0,1,7,1
231,1,0,0,0,2016-06-08,118,13,377.55,31,0,1,0,80,7,2
232,0,0,0,1,2016-06-09,378,49,377.55,21,0,2,4,8,7,3
233,1,0,0,0,2016-06-10,179,51,377.55,31,0,0,0,2,7,4
234,0,0,0,1,2016-06-20,289,48,377.55,36,0,0,2,2,7,0
235,0,0,0,1,2016-06-30,225,26,377.55,24,0,1,2,2,7,3
236,0,0,1,0,2016-07-05,155,12,275.312,25,0,2,0,16,7,1
237,1,0,0,0,2016-07-06,118,13,275.312,31,0,1,0,8,7,2
238,1,0,0,0,2016-07-08,118,10,275.312,28,0,0,0,8,7,4
239,0,0,0,1,2016-07-08,118,10,275.312,28,0,0,0,4,7,4
240,0,0,0,1,2016-07-12,330,16,275.312,25,1,0,0,8,7,1
241,0,0,1,0,2016-07-14,179,26,275.312,19,1,0,0,8,7,3
242,0,0,0,1,2016-07-15,155,12,275.312,25,0,2,0,2,7,4
243,1,0,0,0,2016-07-18,330,16,275.312,25,1,0,0,8,7,0
244,1,0,0,0,2016-07-19,330,16,275.312,25,1,0,0,8,7,1
245,0,0,0,1,2016-07-18,157,27,275.312,22,0,0,0,3,7,0
246,0,0,0,1,2016-07-19,361,52,275.312,27,0,1,4,8,7,1
247,0,0,0,1,2016-07-20,289,36,275.312,30,0,2,1,8,7,2
248,0,0,0,1,2016-07-21,179,51,275.312,31,0,0,0,8,7,3
249,0,0,1,0,2016-07-11,289,36,275.312,30,0,2,1,32,7,0
250,0,0,1,0,2016-07-14,289,36,275.312,30,0,2,1,8,7,3
251,0,0,0,0,2016-07-21,260,50,275.312,23,0,4,0,0,7,3
252,0,0,1,0,2016-08-04,289,36,265.615,30,0,2,1,8,7,3
253,0,0,1,0,2016-08-11,157,27,265.615,22,0,0,0,3,7,3
254,0,0,0,1,2016-08-07,289,36,265.615,30,0,2,1,1,7,6
255,0,0,1,0,2016-08-08,228,14,265.615,22,0,2,1,8,7,0
256,1,0,0,0,2016-08-10,300,26,265.615,25,0,2,1,1,7,2
257,1,0,0,0,2016-08-10,300,26,265.615,25,0,2,1,2,7,2
258,0,0,0,1,2016-08-11,260,50,265.615,23,0,4,0,4,7,3
259,0,0,0,1,2016-08-08,289,36,265.615,30,0,2,1,4,7,0
260,0,0,0,1,2016-08-09,248,25,265.615,32,0,2,1,1,7,1
261,1,0,0,0,2016-08-10,268,11,265.615,25,1,0,0,8,7,2
262,0,0,0,1,2016-08-10,179,26,265.615,19,1,0,0,1,7,2
263,1,0,0,0,2016-08-10,118,13,265.615,31,0,1,0,3,7,2
264,0,0,0,1,2016-08-14,248,25,265.615,32,0,2,1,2,7,6
265,0,0,0,1,2016-08-15,235,11,265.615,29,1,1,1,1,7,0
266,0,0,0,1,2016-08-17,118,13,265.615,31,0,1,0,1,7,2
267,0,0,1,0,2016-08-24,235,11,265.615,29,1,1,1,8,7,2
268,1,0,0,0,2016-08-08,361,52,265.615,27,0,1,4,8,7,0
269,1,0,0,0,2016-08-30,184,42,265.615,21,0,0,0,8,7,1
270,1,0,0,0,2016-09-05,179,51,294.217,31,0,0,0,8,7,0
271,0,0,0,1,2016-09-09,179,51,294.217,31,0,0,0,3,7,4
272,0,0,1,0,2016-09-07,289,36,294.217,30,0,2,1,24,7,2
273,0,0,0,0,2016-09-08,235,20,294.217,38,0,1,0,0,7,3
274,1,0,0,0,2016-09-12,246,25,294.217,23,0,0,0,16,7,0
275,0,0,0,1,2016-09-13,291,31,294.217,25,0,1,1,3,7,1
276,0,0,0,0,2016-09-13,231,35,294.217,35,0,2,2,0,7,1
277,0,0,0,0,2016-09-13,291,50,294.217,23,0,0,0,0,7,1
278,1,0,0,0,2016-09-14,179,51,294.217,31,0,0,0,8,7,2
279,1,0,0,0,2016-09-14,246,25,294.217,23,0,0,0,32,7,2
280,0,0,0,1,2016-09-15,179,51,294.217,31,0,0,0,1,7,3
281,0,0,0,1,2016-09-16,291,31,294.217,25,0,1,1,4,7,4
282,0,0,0,1,2016-09-16,260,50,294.217,23,0,4,0,4,7,4
283,0,0,0,1,2016-09-14,235,20,294.217,38,0,1,0,8,7,2
284,0,0,0,1,2016-09-15,118,13,294.217,31,0,1,0,1,7,3
285,0,0,0,0,2016-09-15,235,20,294.217,38,0,1,0,0,7,3
286,0,0,0,1,2016-09-16,291,31,294.217,25,0,1,1,3,7,4
287,1,0,0,0,2016-09-26,291,31,294.217,25,0,1,1,40,7,0
288,1,0,0,0,2016-09-26,179,51,294.217,31,0,0,0,8,7,0
289,0,0,0,1,2016-10-05,289,36,265.017,30,0,2,1,8,7,2
290,0,0,0,1,2016-10-05,235,11,265.017,29,1,1,1,4,7,2
291,0,0,0,1,2016-10-05,289,36,265.017,30,0,2,1,8,7,2
292,0,0,0,1,2016-10-06,289,36,265.017,30,0,2,1,8,7,3
293,0,0,0,0,2016-10-06,118,13,265.017,31,0,1,0,0,7,3
294,0,0,0,0,2016-10-06,248,25,265.017,32,0,2,1,0,7,3
295,1,0,0,0,2016-10-12,179,26,265.017,19,1,0,0,8,7,2
296,1,0,0,0,2016-10-12,118,10,265.017,28,0,0,0,3,7,2
297,0,0,0,1,2016-10-12,369,17,265.017,25,0,3,0,8,7,2
298,0,0,0,1,2016-10-14,179,51,265.017,31,0,0,0,1,7,4
299,1,0,0,0,2016-10-14,179,26,265.017,19,1,0,0,64,7,4
300,0,0,0,0,2016-10-14,235,20,265.017,38,0,1,0,0,7,4
301,0,0,1,0,2016-10-15,289,36,265.017,30,0,2,1,16,7,5
302,0,0,0,1,2016-10-16,260,50,265.017,23,0,4,0,3,7,6
303,0,0,0,0,2016-10-16,235,20,265.017,38,0,1,0,0,7,6
304,0,0,0,1,2016-10-19,235,20,265.017,38,0,1,0,2,7,2
305,0,0,0,1,2016-10-19,235,20,265.017,38,0,1,0,2,7,2
306,0,0,0,1,2016-10-20,118,13,265.017,31,0,1,0,1,7,3
307,0,0,0,1,2016-10-20,291,31,265.017,25,0,1,1,4,7,3
308,0,0,0,1,2016-10-22,179,26,265.017,19,1,0,0,16,7,5
309,0,0,0,1,2016-10-22,118,13,265.017,31,0,1,0,1,7,5
310,1,0,0,0,2016-10-26,361,52,265.017,27,0,1,4,8,7,2
311,0,0,0,0,2016-10-27,260,50,265.017,23,0,4,0,0,7,3
312,0,0,0,0,2016-10-27,291,31,265.017,25,0,1,1,0,7,3
313,0,0,0,0,2016-10-27,157,27,265.017,22,0,0,0,0,7,3
314,1,0,0,0,2016-10-28,179,26,265.017,19,1,0,0,5,7,4
315,1,0,0,0,2016-10-28,179,26,265.017,19,1,0,0,5,7,4
316,0,0,0,1,2016-10-29,118,13,265.017,31,0,1,0,1,7,5
317,1,0,0,0,2016-11-07,118,10,284.031,28,0,0,0,8,7,0
318,0,0,0,1,2016-11-07,248,25,284.031,32,0,2,1,2,7,0
319,1,0,0,0,2016-11-08,179,51,284.031,31,0,0,0,8,7,1
320,0,0,0,1,2016-11-11,260,50,284.031,23,0,4,0,3,7,4
321,0,0,0,1,2016-11-14,291,31,284.031,25,0,1,1,1,7,0
322,1,0,0,0,2016-11-14,378,49,284.031,21,0,2,4,8,7,0
323,1,0,0,0,2016-11-14,155,12,284.031,25,0,2,0,120,7,0
324,0,0,0,1,2016-11-14,235,20,284.031,38,0,1,0,8,7,0
325,0,0,0,0,2016-11-15,330,16,284.031,25,1,0,0,0,7,1
326,0,0,1,0,2016-11-16,235,11,284.031,29,1,1,1,1,7,2
327,1,0,0,0,2016-11-16,118,10,284.031,28,0,0,0,3,7,2
328,0,0,0,1,2016-11-17,235,11,284.031,29,1,1,1,2,7,3
329,0,0,0,1,2016-11-17,179,51,284.031,31,0,0,0,3,7,3
330,1,0,0,0,2016-11-18,246,25,284.031,23,0,0,0,8,7,4
331,1,0,0,0,2016-11-18,291,31,284.031,25,0,1,1,4,7,4
332,1,0,0,0,2016-11-21,246,25,284.031,23,0,0,0,8,7,0
333,0,0,0,1,2016-11-22,179,51,284.031,31,0,0,0,1,7,1
334,1,0,0,0,2016-11-23,260,50,284.031,23,0,4,0,8,7,2
335,0,1,0,0,2016-11-25,260,50,284.031,23,0,4,0,8,7,4
336,0,0,0,0,2016-11-25,378,49,284.031,21,0,2,4,0,7,4
337,0,0,0,0,2016-11-29,279,5,284.031,24,0,2,0,0,7,1
338,0,0,0,1,2016-11-24,179,51,284.031,31,0,0,0,1,7,3
339,1,0,0,0,2016-12-05,225,26,236.629,24,0,1,2,3,7,0
340,0,0,0,1,2016-12-05,179,51,236.629,31,0,0,0,2,7,0
341,0,0,0,1,2016-12-05,179,51,236.629,31,0,0,0,1,7,0
342,0,0,0,1,2016-12-05,235,11,236.629,29,1,1,1,3,7,0
343,0,0,0,1,2016-12-06,118,13,236.629,31,0,1,0,1,7,1
344,0,0,0,1,2016-12-09,260,50,236.629,23,0,4,0,4,7,4
345,1,0,0,0,2016-12-15,246,25,236.629,23,0,0,0,8,7,3
346,0,0,0,1,2016-12-15,179,51,236.629,31,0,0,0,1,7,3
347,0,0,0,1,2016-12-16,179,51,236.629,31,0,0,0,1,7,4
348,0,0,0,1,2016-12-20,179,26,236.629,19,1,0,0,1,7,1
349,0,0,0,1,2016-12-20,118,10,236.629,28,0,0,0,8,7,1
350,0,0,0,1,2016-12-22,235,11,236.629,29,1,1,1,2,7,3
351,0,0,0,1,2016-12-23,179,51,236.629,31,0,0,0,1,7,4
352,1,0,0,0,2016-12-20,235,20,236.629,38,0,1,0,8,7,1
353,1,0,0,0,2016-12-20,235,11,236.629,29,1,1,1,4,7,1
